user_id,ip_address,entity_id,veracity,entity_category,entity_category2,entity_set,experiment_id,dwell,n_dwells,mobile,btn_likes,btn_read_later,btn_shares,condition,item_order,ldwell,likes_0,likes_1,read_later_0,read_later_1,shares_0,shares_1,attention,ipblock
1652910426203_slw42,173.19.90.63,22051858_climate_M5Suv,,news,,22051858_climate,eRGOfe,,3,0,220,0,21,-0.5,0,,0,0,0,0,0,0,1,0
1652910426203_slw42,173.19.90.63,o9n_dMnwN,1,news,news_true,oct9_news,eRGOfe,,4,0,825,0,58,-0.5,1,,0,0,0,0,0,0,1,0
1652910426203_slw42,173.19.90.63,o9n_rloc5,1,news,news_true,oct9_news,eRGOfe,,4,0,149,0,10,-0.5,2,,0,0,0,0,0,0,1,0
1652910426203_slw42,173.19.90.63,22apr25_youtube_pop_9nRXb,,sensational,sensational,22apr25_youtube_pop,eRGOfe,7697,4,0,69,0,7,-0.5,3,8.94858592153432,0,0,0,0,0,0,1,0
1652910426203_slw42,173.19.90.63,o9n_6XOQS,1,news,news_true,oct9_news,eRGOfe,13354,4,0,31,0,5,-0.5,4,9.49957124441781,0,0,0,0,0,0,1,0
1652910426203_slw42,173.19.90.63,o9n_Oo736,1,news,news_true,oct9_news,eRGOfe,15493,3,0,251,0,16,-0.5,5,9.64814358799629,0,0,0,0,0,0,1,0
1652910426203_slw42,173.19.90.63,o9n_LofXh,1,news,news_true,oct9_news,eRGOfe,11746,3,0,3114,0,181,-0.5,6,9.37126803608247,0,0,0,0,0,0,1,0
1652910426203_slw42,173.19.90.63,o9n_jXuPe,1,news,news_true,oct9_news,eRGOfe,14657,3,0,193,0,19,-0.5,7,9.5926733160273,0,0,0,0,0,0,1,0
1652910426203_slw42,173.19.90.63,o9n_SX1RP,1,news,news_true,oct9_news,eRGOfe,5925,3,0,152,0,8,-0.5,8,8.68693596600333,0,0,0,0,0,0,1,0
1652910426203_slw42,173.19.90.63,22apr25_youtube_pop_c1bbK,,sensational,sensational,22apr25_youtube_pop,eRGOfe,2852,3,0,4426,0,433,-0.5,9,7.95577578153419,0,0,0,0,0,0,1,0
1652910426203_slw42,173.19.90.63,o9n_MqOLv,1,news,news_true,oct9_news,eRGOfe,4694,3,0,274,0,29,-0.5,10,8.45404037641097,0,0,0,0,0,0,1,0
1652910426203_slw42,173.19.90.63,o9n_u7J75,1,news,news_true,oct9_news,eRGOfe,6526,3,0,1358,0,119,-0.5,11,8.78354947715327,0,0,0,0,0,0,1,0
1652910426203_slw42,173.19.90.63,o9n_RXkkg,1,news,news_true,oct9_news,eRGOfe,22605,3,0,5332,0,720,-0.5,12,10.0259263997287,0,0,0,0,0,0,1,0
1652910426203_slw42,173.19.90.63,o9n_KZ3Mn,1,news,news_true,oct9_news,eRGOfe,11492,3,0,2367,0,130,-0.5,13,9.34940642009918,0,0,0,0,0,0,1,0
1652910426203_slw42,173.19.90.63,22apr25_youtube_pop_R7wBx,,sensational,sensational,22apr25_youtube_pop,eRGOfe,2446,3,0,31,0,3,-0.5,14,7.80220931624712,0,0,0,0,0,0,1,0
1652910426203_slw42,173.19.90.63,o9n_gWIAb,1,news,news_true,oct9_news,eRGOfe,3557,3,0,199,0,25,-0.5,15,8.17667277194846,0,0,0,0,0,0,1,0
1652910426203_slw42,173.19.90.63,o9n_bTDfh,1,news,news_true,oct9_news,eRGOfe,1774,3,0,262,0,40,-0.5,16,7.48099216286953,0,0,0,0,0,0,1,0
1652910426203_slw42,173.19.90.63,o9n_zfV7H,1,news,news_true,oct9_news,eRGOfe,4657,3,0,22219,0,1213,-0.5,17,8.44612674298238,0,0,0,0,0,0,1,0
1652910426203_slw42,173.19.90.63,o9n_KPnfm,1,news,news_true,oct9_news,eRGOfe,133,2,0,175,0,21,-0.5,18,4.89034912822175,0,0,0,0,0,0,1,0
1652910426203_slw42,173.19.90.63,o9n_NcX6i,1,news,news_true,oct9_news,eRGOfe,11293,3,0,45,0,4,-0.5,19,9.33193834372367,0,0,0,0,0,0,1,0
