user_id,engage_firstheadline,condition
1653081715108_w3l0w,1,-0.5
1653081971466_ovot6,1,0.5
1653081984016_3yp24,0,0.5
1653082007199_erdh0,1,-0.5
1653082354248_nmtuo,1,0.5
1653082728760_r7vui,0,-0.5
1653083674284_v68m4,1,-0.5
1653083748468_9sga5,0,0.5
1653084118574_jm0xo,1,0.5
1653084330703_t8gwq,1,-0.5
1653084561079_3g5d4,1,0.5
1653085158931_r29xn,0,0.5
1653085522317_dzpip,0,0.5
1653085721159_2r0tp,1,-0.5
1653086623758_k9h23,0,0.5
1653086723824_4djax,0,-0.5
1653086994453_4ntz2,1,-0.5
1653087086064_u9r7b,0,-0.5
1653087197668_gwdaf,1,-0.5
1653087972819_lwvv6,1,-0.5
1653088029396_bc8a9,0,0.5
1653088131477_6ngrx,1,-0.5
1653088409557_q3a98,1,0.5
1653088547962_tlkzw,0,-0.5
1653089100577_336qk,1,-0.5
1653089299845_h43rx,1,0.5
1653089312193_x1okw,1,-0.5
1653089326079_rm7d0,0,0.5
1653090087230_rt55r,1,0.5
1653090212831_16kqf,1,0.5
1653090420162_nu165,1,-0.5
1653090554071_lnwb2,1,-0.5
1653090632927_rfef6,3,-0.5
1653090816197_qzn1x,0,-0.5
1653090924580_9de3e,1,0.5
1653090986481_o65yk,0,0.5
1653091267625_0s4yj,0,-0.5
1653092419006_xqmh4,0,0.5
1653092977304_qj1ks,2,-0.5
1653093062760_ijvg0,0,-0.5
1653093115542_d1q0u,2,0.5
1653093118595_sp9j2,1,0.5
1653093149690_wztye,1,0.5
1653093181762_bxj3x,0,-0.5
1653093221604_fk42z,3,-0.5
1653093462277_q5uy6,1,0.5
1653093902822_loowg,0,0.5
1653094206347_cqy48,0,0.5
1653094339427_cmx4d,2,-0.5
1653094508211_v28x5,1,-0.5
1653095033369_81qb1,0,0.5
1653095200266_6in8x,1,-0.5
1653095317594_78pzt,0,0.5
1653095723843_0dh8o,0,-0.5
1653095960244_7a9v0,0,-0.5
1653096275959_ocb7i,1,-0.5
1653096307079_vesoz,1,0.5
1653096315547_2a7qn,0,-0.5
1653096395721_0fbt4,0,0.5
1653096994661_exuu9,1,-0.5
1653097072620_no3pg,0,0.5
1653097528735_3p1il,0,-0.5
1653097979313_sac28,0,-0.5
1653099761107_sudrd,0,0.5
1653099852306_w6qr9,0,-0.5
1653099908902_xl6iz,1,0.5
1653100129449_gagnp,0,0.5
1653100232423_7qe23,0,-0.5
1653100376251_4z6kt,0,0.5
1653101467155_5apky,1,-0.5
1653101878439_jg9gq,0,-0.5
1653102100483_df50m,1,-0.5
1653103036626_njx4j,0,0.5
1653103058318_88c2a,1,-0.5
1653103599039_yqrjo,0,-0.5
1653104610191_oon54,1,-0.5
1653104619577_kjc30,0,-0.5
1653105626323_dqzau,2,0.5
1653107182664_78t7q,2,0.5
1653107580935_582qr,0,-0.5
1653107603639_acdjc,0,-0.5
1653107858773_4uwjm,0,-0.5
1653108440999_52sin,0,0.5
1653108933179_9mag5,0,-0.5
1653109012361_tfjpv,2,0.5
1653350569208_mo7hm,0,0.5
1653350615766_fs9nz,1,0.5
1653350619021_xpdbu,0,-0.5
1653350679811_b302t,1,0.5
1653350828269_p6ak9,0,0.5
1653351128119_g5u1e,2,0.5
1653351358958_5v3co,0,-0.5
1653351564616_gc65d,0,0.5
1653351869206_0tnrh,0,-0.5
1653352698186_rwuhz,1,-0.5
1653352708549_54gj2,1,0.5
1653352861893_dkqv3,3,-0.5
1653353028918_pirer,0,0.5
1653353344794_uzwky,0,0.5
1653353648699_r3vky,1,-0.5
1653353833996_ufaw8,1,0.5
1653354030858_r9d43,0,-0.5
1653354309038_9bhzv,2,0.5
1653354522266_cpea5,1,-0.5
1653354692012_mdkh7,1,0.5
1653354827559_0vh4x,0,0.5
1653355244392_v6vgg,2,-0.5
1653355291151_5jn2j,0,0.5
1653355335237_osje1,0,0.5
1653355375389_kwvdu,0,-0.5
1653355414154_3unm8,1,0.5
1653355682011_sarqq,1,-0.5
1653355974169_6bkjy,1,0.5
