"time_stamp","time_engagement","time_content_viewed","user_id","entity_id","condition","experiment_id","engagement_type","response","accuracy_score","entity_category","entity_set","entity_url","ip_address","item_order","likes","read_later","shares","user_agent"
"1653782954630","1653782953884","1653782951408","1653780032930_azhr1","o9n_bTDfh","1","e0j5KD","read_later","1","-1","news","oct9_news","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_Trump%20wins%20Ohio%20primary.png","47.14.139.240","5","265","0","15","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653783706922","-1","1653782951408","1653780032930_azhr1","o9n_bTDfh","1","e0j5KD","dwell","2948","-1","news","oct9_news","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_Trump%20wins%20Ohio%20primary.png","47.14.139.240","5","265","0","15","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653782957260","1653782956548","1653782954456","1653780032930_azhr1","o9n_Oo736","1","e0j5KD","read_later","1","-1","news","oct9_news","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_pennState%20blasted%20for%20antiracism%20in%20job%20desc.png","47.14.139.240","6","1522","0","126","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653783706922","-1","1653782954456","1653780032930_azhr1","o9n_Oo736","1","e0j5KD","dwell","2683","-1","news","oct9_news","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_pennState%20blasted%20for%20antiracism%20in%20job%20desc.png","47.14.139.240","6","1522","0","126","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653783706922","-1","1653782957722","1653780032930_azhr1","o9n_LxSfY","1","e0j5KD","dwell","933","-1","news","oct9_news","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_registered%20republicans%20overtake%20dems%20in%20florida.png","47.14.139.240","7","221","0","17","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653782967864","1653782967119","1653782962502","1653780032930_azhr1","22052625_youtubepopular_RN02f","1","e0j5KD","read_later","1","-1","sensational","22052625_youtubepopular","https://ucarecdn.com/8172c6a0-2c6f-43b8-812c-4a709c685e5b/","47.14.139.240","8","41","0","2","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653782971223","1653782970510","1653782962502","1653780032930_azhr1","22052625_youtubepopular_RN02f","1","e0j5KD","likes","1","-1","sensational","22052625_youtubepopular","https://ucarecdn.com/8172c6a0-2c6f-43b8-812c-4a709c685e5b/","47.14.139.240","8","41","0","2","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653783706922","-1","1653782962502","1653780032930_azhr1","22052625_youtubepopular_RN02f","1","e0j5KD","dwell","5067","-1","sensational","22052625_youtubepopular","https://ucarecdn.com/8172c6a0-2c6f-43b8-812c-4a709c685e5b/","47.14.139.240","8","41","0","2","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653783706922","-1","1653782967619","1653780032930_azhr1","o9n_vtZNd","1","e0j5KD","dwell","4382","-1","news","oct9_news","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_republicans%20voted%20for%20Biden's%20bill.png","47.14.139.240","9","85","0","8","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653783706922","-1","1653782972074","1653780032930_azhr1","22052625_youtubepopular_RN02f","1","e0j5KD","dwell","1276","-1","sensational","22052625_youtubepopular","https://ucarecdn.com/8172c6a0-2c6f-43b8-812c-4a709c685e5b/","47.14.139.240","8","41","0","2","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653782978692","1653782977944","1653782974099","1653780032930_azhr1","o9n_vtZNd","1","e0j5KD","read_later","1","-1","news","oct9_news","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_republicans%20voted%20for%20Biden's%20bill.png","47.14.139.240","9","85","0","8","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653783706922","-1","1653782974099","1653780032930_azhr1","o9n_vtZNd","1","e0j5KD","dwell","966","-1","news","oct9_news","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_republicans%20voted%20for%20Biden's%20bill.png","47.14.139.240","9","85","0","8","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653782980824","1653782980114","1653782978449","1653780032930_azhr1","22052625_youtubepopular_Jv2mm","1","e0j5KD","likes","1","-1","news","22052625_youtubepopular","https://ucarecdn.com/8172c6a0-2c6f-43b8-812c-4a709c685e5b/","47.14.139.240","10","21","0","1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
