topic_id,topic,importance,newsworthy,familiarity,desiredFrequency,observedFrequency,n_ratings
27,TikToker made $200k selling farts in jars,1.45161290322581,1.64516129032258,1.67741935483871,1.19354838709677,1.38709677419355,31
23,Prince William and Kate Middleton's life story,1.75862068965517,2.03448275862069,2.51724137931035,1.24137931034483,2.31034482758621,29
25,Celebrity Alcohol Brands,1.78260869565217,1.91304347826087,1.8695652173913,1.56521739130435,1.91304347826087,23
19,Number of kids celebrities have,2.03333333333333,2.13333333333333,2.66666666666667,1.4,3.1,30
15,Mark Zuckerberg's Metaverse,2.31034482758621,2.41379310344828,2.58620689655172,1.27586206896552,2.41379310344828,29
22,Jennifer Lopez and Ben Affleck's Wedding and Honeymoon,2.36,2.24,2.12,1.32,2.72,25
26,Host Selection for ‘Jeopardy!’,2.39393939393939,2.6969696969697,2.5625,1.45454545454545,2.15151515151515,33
17,2022 NFL training camp,2.48484848484849,2.48484848484849,2.36363636363636,1.48484848484848,2.57575757575758,33
21,Vince McMahon’s retirement and scandals,2.64864864864865,2.86486486486487,2.10810810810811,1.62162162162162,2.27027027027027,37
18,2022 MLB trade deadline,2.68421052631579,3,2.13513513513514,1.60526315789474,2.23684210526316,38
11,Prince Harry and Meghan Markle's life story,2.78260869565217,2.69565217391304,2.82608695652174,1.47826086956522,2.69565217391304,23
13,"New movie """"DC League of Super-pets""""",2.90909090909091,2.90909090909091,2.09090909090909,1.72727272727273,2.22727272727273,22
20,Comedians joking about LGBTQ,2.96666666666667,2.93333333333333,2.96666666666667,1.46666666666667,2.3,30
6,Stock Market Volatility,3.59259259259259,3.62962962962963,2.59259259259259,1.81481481481482,2.88888888888889,27
28,WNBA star Brittney Griner in Russian custody,3.68181818181818,3.63636363636364,3.13636363636364,1.59090909090909,3.54545454545455,22
5,Musk-Twitter 44-Billion Deal,3.82926829268293,4,3.53658536585366,1.68292682926829,4.26829268292683,41
24,Air travel disruptions,3.84375,3.90625,2.96875,1.875,3.21875,32
16,Amazon's One Medical Deal,4.25806451612903,4.25806451612903,1.87096774193548,2.2258064516129,1.83870967741936,31
4,Race to Replace UK Prime Minister Boris Johnson,4.30555555555556,4.55555555555556,2.44444444444444,2.13888888888889,2.91666666666667,36
2,Nancy Pelosi’s Taiwan visit,4.30769230769231,4.15384615384615,2.76923076923077,1.76923076923077,3.69230769230769,26
1,January 6th attack investigation,4.44117647058824,4.47058823529412,3.85294117647059,1.88235294117647,4.5,34
7,First Images from the James Webb Telescope,4.54838709677419,4.74193548387097,3.06451612903226,2.19354838709677,3.58064516129032,31
12,US Home Prices Potential Correction,4.75862068965517,4.62068965517241,2.75862068965517,2.17241379310345,2.96551724137931,29
9,Wildfires in California,5,5.07142857142857,3.35714285714286,2.25,3.39285714285714,28
10,Heat Waves,5.06451612903226,5,4.06451612903226,2.29032258064516,4.41935483870968,31
8,2022 Mass Shootings,5.06896551724138,5.10344827586207,3.72413793103448,1.86206896551724,3.68965517241379,29
14,Roe v. Wade & Abortion Rights,5.17857142857143,4.85714285714286,3.92857142857143,2.28571428571429,5.25,28
3,Rising Inflation,5.48648648648649,5.54054054054054,3.89189189189189,2.45945945945946,5.18918918918919,37
