"","importance","newsworthy","familiarity","observedFrequency","desiredFrequency"
"importance",1,0.992879200052562,0.747129743349074,0.773349759163328,0.915519084878733
"newsworthy",0.992879200052562,1,0.735784756496197,0.753611398822875,0.92049933194613
"familiarity",0.747129743349074,0.735784756496197,1,0.913437585937116,0.549884892665512
"observedFrequency",0.773349759163328,0.753611398822875,0.913437585937116,1,0.626291714868692
"desiredFrequency",0.915519084878733,0.92049933194613,0.549884892665512,0.626291714868692,1
