user_id,engage_firstheadline,condition
1653871947104_ubjjn,0,-0.5
1653871947952_wulux,1,0.5
1653871994040_eciqt,2,0.5
1653872011268_saitv,0,-0.5
1653872037108_4b4wx,0,-0.5
1653872122433_aixq5,1,0.5
1653872128616_tsjwh,1,-0.5
1653872168962_cz8qh,0,0.5
1653872214992_y0in4,0,0.5
1653872217888_3beu3,0,0.5
1653872308953_rvtjf,0,-0.5
1653872358815_eowz2,1,0.5
1653872373185_rcx8x,0,0.5
1653872567547_n2rfb,1,-0.5
1653872589236_tl81c,0,0.5
1653872594896_re4rd,2,0.5
1653872599680_9frui,0,-0.5
1653872745314_ha3ga,0,-0.5
1653872926052_vvv6l,1,-0.5
1653873154755_507n6,0,0.5
1653873193985_1smkw,0,0.5
1653873237359_3r6ri,0,0.5
1653873268387_qp46b,0,0.5
1653873270207_0ytvn,0,-0.5
1653873282305_r1cqc,0,-0.5
1653873346039_vpv2d,1,0.5
1653873376668_76rp7,0,-0.5
1653873408349_3x99m,0,0.5
1653873410203_oupag,1,0.5
1653873557185_7ja0x,0,0.5
1653873592112_4t8ku,0,-0.5
1653873866907_v3ft6,0,-0.5
1653873904896_hnuke,0,0.5
1653874201172_dywdi,1,-0.5
1653874346127_uradp,1,-0.5
1653874460034_vp1gw,0,-0.5
1653874478147_zd0m6,1,0.5
1653874721739_w5qok,2,0.5
1653874819895_ukf4l,2,0.5
1653874840601_xevgy,0,-0.5
1653874911837_azr68,0,0.5
1653875087851_ka6pu,1,-0.5
1653875169338_2bk89,0,0.5
1653875196179_84y9i,0,0.5
1653875319702_o8ha8,0,-0.5
1653875413603_kfjlj,2,-0.5
1653875447262_63mvs,0,0.5
1653875451731_1sdta,0,0.5
1653875463584_th503,1,-0.5
1653875489364_yn4d1,0,0.5
1653875523171_8ihey,0,-0.5
1653875547054_nh9mg,1,-0.5
1653875634210_nu51h,1,0.5
1653875671232_nwqer,1,0.5
1653875738764_04wol,0,-0.5
1653875798572_x1h8e,0,0.5
1653875815597_tkry0,0,0.5
1653875857883_iu4bt,0,-0.5
1653876261981_d1dad,0,0.5
1653876350099_ovdel,1,-0.5
1653876563997_4ho2p,0,-0.5
1653876638703_3sawz,0,-0.5
1653876667316_b1x7u,1,0.5
1653876676515_uhh4x,1,0.5
1653876686072_15x8x,1,-0.5
1653876711436_tucwf,1,-0.5
1653876887975_dry5c,3,0.5
1653877018472_sylvj,0,-0.5
1653877169199_iq7c6,0,0.5
1653877229615_h8u00,0,-0.5
1653877280913_03m6z,0,0.5
1653878872396_2k0dh,0,-0.5
1653879500448_kwqav,0,0.5
1653879794395_q4za6,0,0.5
1653880138896_ujwpu,1,-0.5
1653881035725_kvilw,1,-0.5
1653883101918_mti16,0,0.5
1653919389166_72e90,0,0.5
1653924386830_csaqs,2,-0.5
1653924649934_4vaz3,1,0.5
1653924650998_2ddkp,1,0.5
1653924660919_atg1m,0,-0.5
1653924671008_5oaba,1,-0.5
1653924675040_q7md7,0,-0.5
1653924680265_kaiiw,1,-0.5
1653924688336_4sqfc,0,0.5
1653924695594_0mcsp,0,-0.5
1653924710780_3gwmp,0,-0.5
1653924717731_hweqh,0,-0.5
1653924719956_won2t,0,-0.5
1653924729881_3p2qb,1,0.5
1653924734803_s95bg,0,0.5
1653924735979_9mg4h,1,0.5
1653924741580_wteam,1,0.5
1653924748695_ndky0,0,-0.5
1653924752053_o43yy,0,0.5
1653924753550_dsjro,1,0.5
1653924762132_nko4e,2,-0.5
1653924763186_p25ss,0,-0.5
1653924764703_qa612,1,-0.5
1653924770151_lfh5f,0,0.5
1653924771097_b8gzo,1,0.5
1653924775885_m6dsh,0,-0.5
1653924798260_1db34,2,0.5
1653924821959_wgyqf,0,-0.5
1653924826851_8adbw,0,-0.5
1653924852576_au4gk,1,-0.5
1653924898493_326ur,1,-0.5
1653924924326_005q2,0,0.5
1653924938892_a3h4a,1,-0.5
1653924949298_uel97,0,-0.5
1653924953550_6bnt2,1,-0.5
1653924985367_1z9nk,0,0.5
1653924987673_98lvu,1,-0.5
1653924989124_q1hza,2,0.5
1653925011727_hipuo,2,0.5
1653925018849_sdde1,1,0.5
1653925056160_2mxho,0,-0.5
1653925075660_wxfd7,1,0.5
1653925094101_6soll,1,-0.5
1653925111474_2xufp,0,-0.5
1653925124617_witbc,0,-0.5
1653925147334_aed74,2,-0.5
1653925161396_zdn8x,1,0.5
1653925179121_p5q9v,0,-0.5
1653925211488_77akk,0,-0.5
1653925214790_zki82,1,0.5
1653925218886_iyk6z,0,0.5
1653925236022_6f69l,0,-0.5
1653925241681_q3tc4,0,-0.5
1653925280464_r9ape,0,-0.5
1653925315978_tmih1,0,-0.5
1653925322816_ipnhf,0,-0.5
1653925342299_ihmw0,1,-0.5
1653925342425_9php8,0,0.5
1653925343517_i8v1s,0,-0.5
1653925371371_18dw6,1,0.5
1653925399190_r19yb,0,0.5
1653925428477_544zz,1,0.5
1653925429001_w8y9q,0,0.5
1653925491346_x15y3,1,-0.5
1653925532467_pjdwx,0,0.5
1653925560224_iwe7s,0,-0.5
1653925605725_7ah8e,1,0.5
1653925630366_bh8an,0,0.5
1653925633401_76gzp,0,-0.5
1653925674945_xfmc8,0,0.5
1653925703500_vqzik,1,-0.5
1653925790252_gpjqr,1,-0.5
1653925800972_n3043,0,-0.5
1653925849607_gvu2j,1,0.5
1653925852714_59qmr,0,0.5
1653925858928_oi6hn,1,0.5
1653925888098_q34y8,0,-0.5
1653925941152_rbs6f,0,0.5
1653925953532_ob6b0,0,0.5
1653926061282_q2f67,0,0.5
1653926084438_qq5yl,1,-0.5
1653926100503_osg89,2,-0.5
1653926108253_rno1r,0,-0.5
1653926128167_ty6s3,1,-0.5
1653926167059_98qtz,0,0.5
1653926182500_oxyj2,1,-0.5
1653926226665_jpnwy,2,0.5
1653926238394_jxol2,1,-0.5
1653926304999_h0e6m,0,0.5
1653926384277_85n4o,0,-0.5
1653926476419_vnegy,0,0.5
1653926480165_f6vxz,0,-0.5
1653926528523_5i1mo,1,0.5
1653926536818_5t8zm,0,-0.5
1653926546675_ds2sm,1,-0.5
1653926548951_khlh0,0,-0.5
1653926551541_y3att,0,-0.5
1653926602837_loh2y,0,-0.5
1653926605945_a4lv8,1,-0.5
1653926638993_7k3t3,1,-0.5
1653926720637_fogct,1,0.5
1653926749474_w8dnl,0,0.5
1653926852793_nb7cf,0,0.5
1653926866774_mzm1q,1,0.5
1653926872010_dwcyu,0,0.5
1653926951758_kejaq,0,0.5
1653927021308_ra0x9,0,0.5
1653927028385_aycs9,0,-0.5
1653927030023_kdc27,1,-0.5
1653927046569_spyg5,1,-0.5
1653927049241_bxawa,0,0.5
1653927055995_b7wo1,0,-0.5
1653927065230_p1mqb,0,-0.5
1653927085647_60oh6,0,-0.5
1653927148713_qb3ma,0,-0.5
1653927187199_x1swp,0,0.5
1653927189704_gxhan,1,0.5
1653927197463_1ry96,1,0.5
1653927353049_p7dm6,0,-0.5
1653927394408_3wwgg,0,0.5
1653927399506_qfv3f,0,0.5
1653927407293_0u1ge,0,0.5
1653927430917_b9so2,1,0.5
1653927434347_euvji,0,-0.5
1653927462032_hcw31,0,-0.5
1653927507957_wn3ia,0,0.5
1653927537073_clrxs,1,0.5
1653927544833_5le8r,0,0.5
1653927575643_mya0n,1,-0.5
1653927594671_zf1to,1,-0.5
1653927594728_gtnnd,1,-0.5
1653927669349_pz6tg,2,0.5
1653927691919_06hfi,0,-0.5
1653927729149_wjizt,0,-0.5
1653927749992_fluk2,1,-0.5
1653927758234_fyp08,0,-0.5
1653927828664_b0ar1,1,0.5
1653927842039_dsvj1,1,0.5
1653927849822_uafha,0,0.5
1653928043279_hba8d,0,-0.5
1653928113206_4rv5w,0,0.5
1653928267266_9cx6u,0,0.5
1653928441586_hdiub,0,0.5
1653928471816_h0sra,1,-0.5
1653928497376_yquro,0,-0.5
1653928509592_olot1,1,0.5
1653928514516_dnis9,0,-0.5
1653928526161_hjuqd,0,0.5
1653928537832_2rt7u,0,-0.5
1653928638214_cpw79,1,-0.5
1653928659203_wmjgu,0,0.5
1653928712349_m17h1,2,0.5
1653928962333_65txm,1,-0.5
1653929036351_ge1kj,2,0.5
1653929075126_l7is7,1,0.5
1653929127876_igk0k,1,0.5
1653929167285_gc24i,1,0.5
1653929203782_527fe,0,-0.5
1653929221684_11gju,0,-0.5
1653929366307_fpr1i,2,-0.5
1653929374628_jbu0w,0,-0.5
1653929419688_rjkld,0,-0.5
1653929429107_6qhh0,0,0.5
1653929543480_htwkc,2,-0.5
1653929702083_vorco,0,-0.5
1653929705376_yhzap,1,-0.5
1653929731132_nhagl,0,-0.5
1653929821963_j20yw,0,0.5
1653929836452_svxt4,1,0.5
1653929879165_m7ive,0,0.5
1653929885358_k78pz,1,-0.5
1653929984355_s0pyy,1,0.5
1653930006404_4qgwu,1,-0.5
1653930040711_c8uo2,1,-0.5
1653930181217_5n04p,0,0.5
1653930215292_fuecq,0,0.5
1653930246588_ppo2c,0,-0.5
1653930272669_rtrwr,0,0.5
1653930385899_odoz6,1,-0.5
1653930502595_klg59,1,0.5
1653930541288_zbfi9,1,-0.5
1653930549352_0pb2d,0,-0.5
1653930578975_lypj2,0,-0.5
1653930586747_ky1z4,0,-0.5
1653930745143_60j66,0,-0.5
1653930778987_6dbot,1,-0.5
1653930779988_c79m6,1,0.5
1653930841019_f1t4e,0,-0.5
1653930919264_zqs7i,1,-0.5
1653930963203_913xu,1,-0.5
1653930978798_sog4u,0,-0.5
1653931011689_7t2zh,1,0.5
1653931105264_n6mtf,1,-0.5
1653931119605_5o5kb,1,0.5
1653931270924_j2g4b,0,0.5
1653931341759_j9jrq,0,-0.5
1653931408382_m4fns,0,0.5
1653931529199_1eayv,1,0.5
1653931531955_oopx6,0,0.5
1653931557301_nmasl,1,0.5
1653931584282_kj9zz,1,-0.5
1653931601364_jjii3,1,-0.5
1653931662736_k3jij,1,-0.5
1653931800228_tlcu6,0,0.5
1653931879747_woppx,0,-0.5
1653931888994_mvecp,0,-0.5
1653931893468_pw430,0,0.5
1653931929130_damzj,1,0.5
1653931963722_0wp3k,0,-0.5
1653931981951_n60xo,0,0.5
1653932123393_r2our,1,-0.5
1653932181164_r4jzz,0,0.5
1653932224977_zlqii,1,0.5
1653932319293_iaeg5,2,-0.5
1653932467955_1e8b5,1,0.5
1653932568433_m3rdr,0,-0.5
1653932635216_djr1o,2,-0.5
1653932694153_fu46s,0,0.5
1653932719800_1xnk3,1,0.5
1653932740631_nm00u,0,0.5
1653932777004_rkh0z,0,-0.5
1653932797420_p2a2w,0,0.5
1653932897142_3lb9m,0,0.5
1653932957122_9rt4p,2,-0.5
1653932962666_n78b0,0,-0.5
1653933118911_4z917,1,-0.5
1653933119533_aomyw,0,0.5
1653933161492_kbsa3,0,0.5
1653933218028_hosui,0,0.5
1653933260510_nhwqf,0,0.5
1653933273941_bm7qp,0,-0.5
1653933357820_j5a79,0,0.5
1653933525916_pu4gd,0,0.5
1653933615025_2y5o5,1,0.5
1653933679749_79a48,0,-0.5
1653933821776_cy56c,0,-0.5
1653933832009_r1xho,0,0.5
1653934129064_txmqc,1,0.5
1653934157036_g5n3u,0,0.5
1653934385394_fscse,1,-0.5
1653935116665_6giaj,0,-0.5
1653936383001_yv8r3,1,-0.5
1653936447865_4v4fp,2,-0.5
