user_id,engage_firstheadline,condition
1651515931442_qhdet,1,0.5
1651515968438_zb9dk,0,-0.5
1651515972671_4lgpe,0,-0.5
1651516037213_zbkfz,0,-0.5
1651516151086_edrqk,0,0.5
1651516161125_wegpj,0,0.5
1651516179202_v3hvh,0,0.5
1651516271759_yxipc,1,-0.5
1651516311168_j0cds,0,0.5
1651516372331_10zyi,1,-0.5
1651516377466_6w0gv,1,0.5
1651516406012_hvo4p,2,0.5
1651516433032_ald52,0,0.5
1651516514529_hwyn3,1,-0.5
1651516521193_luydz,1,0.5
1651516526455_irvms,0,-0.5
1651516574898_yq3in,0,-0.5
1651516592189_e7rpr,1,0.5
1651516628698_kurys,1,-0.5
1651516639872_syj1a,1,-0.5
1651516685244_2pe0s,0,-0.5
1651516703860_ko5uo,1,0.5
1651516768539_z10se,1,0.5
1651516832778_clrl9,0,-0.5
1651516872092_h8xwm,0,-0.5
1651516890490_bc880,1,-0.5
1651517132533_mki1z,1,0.5
1651517197816_b2b13,1,-0.5
1651517215017_uvr1p,1,-0.5
1651517225436_o2lfe,0,-0.5
1651517242714_inl6x,0,0.5
1651517261222_tgwy5,0,-0.5
1651517364116_ibo2d,1,-0.5
1651517379865_q9y9q,1,0.5
1651517422421_ck8xy,0,0.5
1651517485434_l4jog,0,0.5
1651517588699_agw30,0,-0.5
1651517593216_6cig0,0,-0.5
1651517607021_2omtu,0,0.5
1651517665976_0vfdb,0,0.5
1651517668699_bmf4q,0,-0.5
1651517803366_gme5v,0,0.5
1651517811734_rnzzz,1,0.5
1651517898896_1clxt,1,-0.5
1651518042330_6ux86,0,0.5
1651518068190_ab38q,1,-0.5
1651518083006_ys1e6,0,0.5
1651518176483_ak47t,0,0.5
1651518179504_fli91,1,-0.5
1651518187576_hn3bp,0,0.5
1651518272544_hufsa,1,0.5
1651518314447_shamr,0,-0.5
1651518335394_m6rwo,1,-0.5
1651518402652_hicqv,0,-0.5
1651518469169_qfcxx,0,-0.5
1651518523303_i3i11,1,-0.5
1651518529360_tnilh,0,-0.5
1651518561151_y56pq,1,0.5
1651518626766_e58ju,3,0.5
1651518686031_2mmsy,0,0.5
1651518829911_st00p,0,0.5
1651518850379_ecq32,0,-0.5
